section,document_title,status,site_url,local_filename,source_author,document_date,last_reviewed,notes
Veterans,Business Continuity Plan,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Business-Continuity-Plan.pdf,Business-Continuity-Plan.pdf,UNCONFIRMED,2013,NOT RECORDED,
Veterans,Clearances & Transfers Guide,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Clearances-Transfers-Guide.pdf,Clearances-Transfers-Guide.pdf,"RDCA — confirmed, read from the document",UNCONFIRMED,NOT RECORDED,
Veterans,Club Questionaire,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Club-Questionaire.doc,Club-Questionaire.doc,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Veterans,Cricket Ball Order Form 2024/25,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Cricket-Ball-Order-Form-2024-25.docx,Cricket-Ball-Order-Form-2024-25.docx,"RDCA — confirmed, read from the document",UNCONFIRMED,NOT RECORDED,
Veterans,Extreme Conditions Policy,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Extreme-Conditions-Policy.pdf,Extreme-Conditions-Policy.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Veterans,Game Day Checklist,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Game-Day-Checklist.pdf,Game-Day-Checklist.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Veterans,Member Protection By Law,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Member-Protection-By-Law.pdf,Member-Protection-By-Law.pdf,"VMCU — confirmed, read from the document",2003,NOT RECORDED,
Veterans,Member Protection Policy,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Member-Protection-Policy.pdf,Member-Protection-Policy.pdf,"VMCU — confirmed, read from the document",2016,NOT RECORDED,
Veterans,MyCricket Results Entry Guide,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/MyCricket-Results-Entry-Guide.pdf,MyCricket-Results-Entry-Guide.pdf,"RDCA — confirmed, read from the document",2012/13,NOT RECORDED,
Veterans,Personal Accident Claim Form,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Personal-Accident-Claim-Form.pdf,Personal-Accident-Claim-Form.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Veterans,RDCA Constitution 2021/22,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Constitution-2021-22.pdf,RDCA-Constitution-2021-22.pdf,"RDCA — confirmed, read from the document",2021,NOT RECORDED,
Veterans,Team Nomination Form,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Team-Nomination-Form.docx,Team-Nomination-Form.docx,"RDCA — confirmed, read from the document",2025,NOT RECORDED,
Veterans,Veterans Rules,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Veterans-Rules.pdf,Veterans-Rules.pdf,UNCONFIRMED,2015,NOT RECORDED,
Women's,Action Plan — Commitment Statement,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/850b4058-29f6-4d85-a3d8-b44202221d7c/Australian-Cricket-s-Statement-of-Commitment-for-Safeguarding-Children-and-Young-People.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Women's,Ball Ordering Instructions,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Ball-Ordering-Instructions.pdf,Ball-Ordering-Instructions.pdf,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,
Women's,Business Continuity Plan,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Business-Continuity-Plan.pdf,Business-Continuity-Plan.pdf,UNCONFIRMED,2013,NOT RECORDED,
Women's,Children & Young People Policy,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/9ddd3384-e1e0-4488-9d3a-dc25eaeefa71/Australian-Cricket-s-Policy-for-Safeguarding-Children-Young-People.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Women's,Clearances & Transfers Guide,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Clearances-Transfers-Guide.pdf,Clearances-Transfers-Guide.pdf,"RDCA — confirmed, read from the document",UNCONFIRMED,NOT RECORDED,
Women's,Code of Conduct — Captains 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Code-of-Conduct-Captains-2025-26.pdf,Code-of-Conduct-Captains-2025-26.pdf,"RDCA — confirmed, read from the document",2025/26,NOT RECORDED,
Women's,Code of Conduct — Players 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Code-of-Conduct-Players-2025-26.pdf,Code-of-Conduct-Players-2025-26.pdf,"RDCA — confirmed, read from the document",2025/26,NOT RECORDED,
Women's,Cricket Ball Order Form 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Cricket-Ball-Order-Form-2025-26.docx,Cricket-Ball-Order-Form-2025-26.docx,"RDCA — confirmed, read from the document",UNCONFIRMED,NOT RECORDED,
Women's,Discipline & Protests Framework 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Discipline-Protests-Framework-2025-26.pdf,Discipline-Protests-Framework-2025-26.pdf,UNCONFIRMED,2025,NOT RECORDED,
Women's,Looking After Our Kids,EXTERNAL-STABLE,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/7587ce1b-83d1-4c80-aa92-8d085ec1faf0/Australian-Cricket-s-Looking-After-Our-Kids-Code-of-Behaviour.pdf,,UNCONFIRMED,UNCONFIRMED,NOT RECORDED,Cricket Australia is the publisher of record; RDCA does not control availability
Women's,Member Protection By Law,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Member-Protection-By-Law.pdf,Member-Protection-By-Law.pdf,"VMCU — confirmed, read from the document",2003,NOT RECORDED,
Women's,Member Protection Policy,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Member-Protection-Policy.pdf,Member-Protection-Policy.pdf,"VMCU — confirmed, read from the document",2016,NOT RECORDED,
Women's,MyCricket Results Entry Guide,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/MyCricket-Results-Entry-Guide.pdf,MyCricket-Results-Entry-Guide.pdf,"RDCA — confirmed, read from the document",2012/13,NOT RECORDED,
Women's,RDCA Constitution 2021/22,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/RDCA-Constitution-2021-22.pdf,RDCA-Constitution-2021-22.pdf,"RDCA — confirmed, read from the document",2021,NOT RECORDED,
Women's,Registration Form,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Registration-Form.pdf,Registration-Form.pdf,"RDCA — confirmed, read from the document",2010,NOT RECORDED,
Women's,Women's East Rules 2025/26,SELF-HOSTED,https://rdca-sportsweb-version2.vercel.app/docs/Womens-East-Rules-2025-26.pdf,Womens-East-Rules-2025-26.pdf,"RDCA — confirmed, read from the document",2025-2026,NOT RECORDED,
